#,Component,Pin type,Pin,Power,Interface,MCU pin
1,TMC2100 SilentStepStick,Motor Output,M1A,,,
,,,M1B,,,
,,,M2A,,,
,,,M2B,,,
,,Power supply,GND,,,
,,,"VM, Motor Supply Voltage (5.5-46V)",24V,,
,,,"VIO, Logic supply Voltage (3.3V-5V or 5V)",3.3V or 5V,,
,,Motor Control,"STP, step pulses",,PWM,
,,,"DIR, direction",,LOW or HIGH,
,,Configuration pin,"CFG0, Chopper off time settings",,,
,,,"CFG1, Microstep resolution",,,
,,,"CFG2, Microstep resolution (interpolation)",,,
,,,"CFG3, Current settings",,,
,,,"CFG4, SETS CHOPPER HYSTERESIS",,,
,,,"CFG5, SETS CHOPPER BLANK TIME",,,
,,,"CFG6, Driver enable ",,,
2,TMC2100 SilentStepStick,Motor Output,M1A,,,
,,,M1B,,,
,,,M2A,,,
,,,M2B,,,
,,Power supply,GND,,,
,,,"VM, Motor Supply Voltage (5.5-46V)",24V,,
,,,"VIO, Logic supply Voltage (3.3V-5V or 5V)",3.3V or 5V,,
,,Motor Control,"STP, step pulses",,PWM,
,,,"DIR, direction",,LOW or HIGH,
,,Configuration pin,"CFG0, Chopper off time settings",,,
,,,"CFG1, Microstep resolution",,,
,,,"CFG2, Microstep resolution (interpolation)",,,
,,,"CFG3, Current settings",,,
,,,"CFG4, SETS CHOPPER HYSTERESIS",,,
,,,"CFG5, SETS CHOPPER BLANK TIME",,,
,,,"CFG6, Driver enable ",,,
